username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TIGN3Y;08/11/2016 04:23;0;0;After talking to other people on my floor & different doctors, I was diagnosed with bipolar 2 disorder instead of just depression.;;;;7.96E+17;https://twitter.com/TIGN3Y/status/795723315302244353
KIMMlSO;07/11/2016 12:58;0;3;5) i was diagnosed with bipolar disorder and ptsd;;;;7.95E+17;https://twitter.com/KIMMlSO/status/795490641631477760
JulieBipolar;05/11/2016 22:17;2;3;We can do anything once we know what we are up against. When I was finally diagnosed with #bipolar disorder at... http:// fb.me/89U7zb7La;;;#bipolar;7.95E+17;https://twitter.com/JulieBipolar/status/794906497238999041
IsaJennie;05/11/2016 11:36;0;1;I was 1,000 miles away from home. In high school. Diagnosed with bipolar , OCD, GAD...;;;;7.95E+17;https://twitter.com/IsaJennie/status/794745061519065088
milkymilkovich_;04/11/2016 09:26;0;0;I was diagnosed with bipolar disorder almost two years ago and it means so much to me to see this https:// twitter.com/attn/status/79 4201734834860032 ;;;;7.94E+17;https://twitter.com/milkymilkovich_/status/794350020594122752
SassyPharmD;03/11/2016 12:25;0;2;HOLY SHIT! I just realized that next week it will have been 2 years since I was diagnosed with bipolar disorder!;;;;7.94E+17;https://twitter.com/SassyPharmD/status/794032647466946560
LilySeabreeze;02/11/2016 23:26;11;9;I was recently diagnosed with bpd, bipolar , & clinical depression. I need your help to survive until my new job. URL gofundme.com/help-nikki-and -lily-make-it-through-2ubwckw8  pic.twitter.com/w5tecfKukj;;;;7.94E+17;https://twitter.com/LilySeabreeze/status/793836788766781440
foxvillager;02/11/2016 06:43;0;7;LRT literally what they did to me, i was diagnosed with bipolar 2 when i really had bpd but bc i was 17 (almost 18) they REFUSED to -;;;;7.94E+17;https://twitter.com/foxvillager/status/793584274037432320
BipolarMind4;02/11/2016 01:45;0;0;Last week I was diagnosed with a bipolar disorder.;;;;7.94E+17;https://twitter.com/BipolarMind4/status/793509284214632450
puggle01;01/11/2016 10:11;0;0;@megancmorgan that show and your words helped me get to profession help and I was subsequently diagnosed with bipolar . Forever grateful x;;@megancmorgan;;7.93E+17;https://twitter.com/puggle01/status/793274302862798848
ceddyleclair;01/11/2016 08:16;0;0;@Halfway2hannah You're very brave. I was recently diagnosed with Bipolar and it's definitely a learning curve. Thanks for your vids;;@Halfway2hannah;;7.93E+17;https://twitter.com/ceddyleclair/status/793245316430430208
WHATISAPLANET;01/11/2016 05:53;0;0;Today, I was diagnosed with Bipolar I;;;;7.93E+17;https://twitter.com/WHATISAPLANET/status/793209281348796416
inyourkarma;31/10/2016 03:54;0;0;@Kobewright23 But I have and am . I was diagnosed with bipolar depression but it's not because of social media don't try to read me and you know nothing .;;@Kobewright23;;7.93E+17;https://twitter.com/inyourkarma/status/792816886501093376
oldpaths_pub;30/10/2016 20:27;0;0;@DentRevelations Dentist advised gum disease: Fluoride toothpaste/Mouthwash 6/7xday use poisoned myself: 3Mths I was diagnosed with Bipolar;;@DentRevelations;;7.93E+17;https://twitter.com/oldpaths_pub/status/792704406764527617
jack_of_dee;30/10/2016 17:40;0;0;@kadtechi oh you didnt know? I was clinically diagnosed with bipolar . And who are you to judge me im normal?!?;;@kadtechi;;7.93E+17;https://twitter.com/jack_of_dee/status/792662459366584322
AAlasondro;30/10/2016 09:09;0;0;When I was diagnosed with bipolar disorder the year I turned 50, it was ... #JanePauley #quotes https:// openquotes.github.io/authors/jane-p auley-quotes/#679ce915 ;;;#janepauley #quotes #679ce915;7.93E+17;https://twitter.com/AAlasondro/status/792533778350694400
JesJoyce;29/10/2016 04:29;0;8;Really wouldn't be surprised if I was diagnosed with bipolar in the next few years;;;;7.92E+17;https://twitter.com/JesJoyce/status/792101062475911168
xkushNdaisiesx;28/10/2016 11:29;0;2;@emofucc @earthlingbrook I'm sorry but I have to call, BULLSHIT! I was diagnosed with bipolar /schizophrenia at 6 years old.;;@emofucc @earthlingbrook;;7.92E+17;https://twitter.com/xkushNdaisiesx/status/791844402456952833
AlisunJane;28/10/2016 02:21;0;1;@BipolarPhotos thank you so much sharing! I was diagnosed with bipolar this year and I love reading what you post :);;@BipolarPhotos;;7.92E+17;https://twitter.com/AlisunJane/status/791706441321250817
spikybluealien;27/10/2016 22:31;0;0;My ex dismissed my feelings & thoughts after I was diagnosed with bipolar disorder. Often I still hesitate to tell people for that reason.;;;;7.92E+17;https://twitter.com/spikybluealien/status/791648599960584194
PassionaNjeri;27/10/2016 18:31;2;3;I was ... Many times over 3years, before I was finally diagnosed with Bipolar Disorder. https:// twitter.com/CurateKE/statu s/791575278380351488 ;;;;7.92E+17;https://twitter.com/PassionaNjeri/status/791588072655884288
AstrologyPepper;27/10/2016 09:38;0;0;@realistfeeIings @pineaIs then when I was diagnosed with Bipolar I cor the 3rd time and agreed to try meds, I get so irritated with some;;@realistfeeIings @pineaIs;;7.91E+17;https://twitter.com/AstrologyPepper/status/791453919239176192
an0nniemous;26/10/2016 12:30;12;0;Last year. When I was diagnosed with major depressive disorder, bipolar disorder and ADHD al at the same time. It explained a lot. https:// twitter.com/CurateKE/statu s/791124044179447808 ;;;;7.91E+17;https://twitter.com/an0nniemous/status/791134924820647936
gnewfry;26/10/2016 10:54;0;2;@AnyaPhenix i think therapy helped me with that a while ago, like when i was first diagnosed with bipolar I.;;@AnyaPhenix;;7.91E+17;https://twitter.com/gnewfry/status/791110827923341316
KarateKingVlogs;26/10/2016 09:58;1;1;@fouseyTUBE I was recently diagnosed with bipolar , depression and developed an addiction, I also have ADHD and Turrets already;;@fouseyTUBE;;7.91E+17;https://twitter.com/KarateKingVlogs/status/791096745761525760
sheeLadyJazz;26/10/2016 00:33;0;1;I hate when bitches  act crazy , like I was diagnosed with bipolar and disassociation disorder. Nothing is cute about bugging tf out.;;;;7.91E+17;https://twitter.com/sheeLadyJazz/status/790954363900559361
spookbree;25/10/2016 11:25;0;1;@MadRabbit_13 the worst reaction to them and that's when i was diagnosed with bipolar;;@MadRabbit_13;;7.91E+17;https://twitter.com/spookbree/status/790756226435022848
txndraland;25/10/2016 10:26;0;4;So I just wanted to let people know, because I'm being open about this, I was diagnosed with bipolar disorder today. I'm not ashamed.;;;;7.91E+17;https://twitter.com/txndraland/status/790741309719916544
kuwabaras_;25/10/2016 09:41;0;0;@themightywoosh and he asked me if i was ever diagnosed with borderline since my current diagnosis is bipolar . jumped topics when i said no;;@themightywoosh;;7.91E+17;https://twitter.com/kuwabaras_/status/790729886654693376
Faience;24/10/2016 09:06;0;0;@mbuhtz FUNNY STORY, I was diagnosed with bipolar disorder in my teens which, because I didnt have FT work after graduating college;;@mbuhtz;;7.90E+17;https://twitter.com/Faience/status/790358672723410944
ashlynn_strange;23/10/2016 23:45;1;0;And proud of it! Been using ganja since i was diagnosed with ADHD, Bipolar , Depression, Anxiety, PTSD, and Extreme Bone Pain. An I'm Happy. pic.twitter.com/2H6OHe7lwd;;;;7.90E+17;https://twitter.com/ashlynn_strange/status/790217625896947712
joshuhadun;23/10/2016 11:44;0;0;noo tell me I was diagnosed with bipolar disorder  thank you for telling me, but I'm embarrassed and n... http:// curiouscat.me/joshuhadun/pos t/34638338 ;;;;7.90E+17;https://twitter.com/joshuhadun/status/790036246278144000
Thatboysane;23/10/2016 05:45;0;0;Seven years ago I was diagnosed with bipolar disorder.. it feels so good to get that off my chest.. #Relief;;;#relief;7.90E+17;https://twitter.com/Thatboysane/status/789945716919640064
JustKazLLC;23/10/2016 00:21;0;0;At first. Then I was diagnosed with bipolar disorder;;;;7.90E+17;https://twitter.com/JustKazLLC/status/789864336659451905
Plegz;21/10/2016 21:01;0;1;If Gross Gore uses the excuse  I was diagnosed with bipolar  one more time I may just throw my head through a wall;;;;7.89E+17;https://twitter.com/Plegz/status/789451465899204608
All4Av;20/10/2016 20:20;0;0;@CloudStrife_18 Yeah, I was diagnosed with bipolar , but it wasn't bad enough to medicate, and plus, they don't know how the medication will;;@CloudStrife_18;;7.89E+17;https://twitter.com/All4Av/status/789078758355501061
mike_caesar;20/10/2016 06:35;0;0;I was diagnosed with Type II Bipolar disorder in 96 & 07. Y'all dumb ass moodswings aren't my condition, and the shit isn't funny.;;;;7.89E+17;https://twitter.com/mike_caesar/status/788871329869029376
veeonnela;19/10/2016 13:04;0;1;@JetBlackTommo alright. I was just wondering bc I've been diagnosed with bipolar disorder but they think there's more&I have my own theories;;@JetBlackTommo;;7.89E+17;https://twitter.com/veeonnela/status/788606725284827136
Mainliningmusic;19/10/2016 11:25;0;0;@RobOrtizETF #Ungrateful and #Collapse by @wearedangerkids got me through some really hard times before I was diagnosed with Bipolar II. pic.twitter.com/nUXp7H2Mxp;;@RobOrtizETF @wearedangerkids;#ungrateful #collapse;7.89E+17;https://twitter.com/Mainliningmusic/status/788581702289461248
mattie_danielle;18/10/2016 23:25;0;0;@fouseyTUBE @AlyciaTyre please pick up the camera it's been 6 days miss the positive vibes I was just diagnosed with ADHD & Bipolar disorder;;@fouseyTUBE @AlyciaTyre;;7.88E+17;https://twitter.com/mattie_danielle/status/788400547468640256
TomYork;18/10/2016 21:03;0;1;Thanks @mhdocumentary I have RTd. I was diagnosed with Bipolar Disorder Type II last year and am happy to share my experiences. Let me know.;;@mhdocumentary;;7.88E+17;https://twitter.com/TomYork/status/788364913622167557
K1MDRACULA;18/10/2016 00:14;0;1;@_ange1ica_ was called when I was 13/14 but I was allergic and never tried anything else, I was diagnosed with bipolar disorder when I was;;@_ange1ica_;;7.88E+17;https://twitter.com/K1MDRACULA/status/788050447785492481
Bipolar_Bandit;16/10/2016 22:31;3;5;10 Things Ive Learned Since I was diagnosed with Bipolar Disorder by Jake http:// wp.me/p2Ge94-2cz #bipolardisorder;;;#bipolardisorder;7.88E+17;https://twitter.com/Bipolar_Bandit/status/787662184486735876
deliriocoletivo;16/10/2016 17:09;0;0;What I Wish I Knew Before I Was Diagnosed With Bipolar | International Bipolar Foundation http:// fb.me/1o6SN2EWo;;;;7.88E+17;https://twitter.com/deliriocoletivo/status/787581208393691137
deliriocoletivo;16/10/2016 17:08;0;0;What I Wish I Knew Before I Was Diagnosed With Bipolar | International Bipolar Foundation http:// fb.me/8cKHzRCWX;;;;7.88E+17;https://twitter.com/deliriocoletivo/status/787581081008549889
ChantyRomard;16/10/2016 00:05;0;0;It's been my worst week in a very long time. Not to mention I was just diagnosed with bipolar disorder on top of my anxiety and depression;;;;7.87E+17;https://twitter.com/ChantyRomard/status/787323550621310977
EllineRivera;15/10/2016 20:44;0;0;-- awhile ago but then I thought about other stuff that made me frown but that doesn't mean I'm bipolar . Unless I was diagnosed with it.;;;;7.87E+17;https://twitter.com/EllineRivera/status/787273030019915776
Deserved2BLoved;14/10/2016 23:17;0;0;My name is Robyn Clay and I was diagnosed with paranoid schizophrenia bipolar manic and PTSD about 5 yrs ago#teammentalillness #teamMAPA;;;#teammentalillness #teammapa;7.87E+17;https://twitter.com/Deserved2BLoved/status/786949108988678145
zorialdiamond;14/10/2016 01:47;0;1;@RuneScape @Jagex @YouTube I was diagnosed with rapid-cycling bipolar this summer after 2 years of issues but God brought me through!;;@RuneScape @Jagex @YouTube;;7.87E+17;https://twitter.com/zorialdiamond/status/786624412292358144
ThundersRoars;14/10/2016 01:04;0;0;today marks the anniversary where I called my parents, b/c I was diagnosed with epilepsy & bipolar disorder, saying THIS IS ALL YOUR FAULT;;;;7.87E+17;https://twitter.com/ThundersRoars/status/786613525217103872
_PriscillaF;13/10/2016 09:50;0;0;@ClaiteGross I'm aware. I was diagnosed with bipolar disorder but I think I've been misdiagnosed.I'm doing my research and everything clicked;;@ClaiteGross;;7.86E+17;https://twitter.com/_PriscillaF/status/786383628246867968
stevecrosswords;13/10/2016 04:23;0;1;@courtneys_voice I was diagnosed with bipolar disorder 20 years ago and have been taking medication ever since. You can live a good life.;;@courtneys_voice;;7.86E+17;https://twitter.com/stevecrosswords/status/786301216917716992
PassionaNjeri;12/10/2016 14:41;0;0;"#BipolarDiaries Things never said: 8 years ago, I tried (and failed) to end my life; 6 years ago I was diagnosed with Bipolar Disorder.";;;#bipolardiaries;7.86E+17;https://twitter.com/PassionaNjeri/status/786094503664971777
griffin_jennie;12/10/2016 07:49;0;0;3 yrs ago I was diagnosed with PTSD. Ppl think I may b bipolar . I spend my time denyin my issues. 2 tired. hurting & nt as easy 2 hide it;;;;7.86E+17;https://twitter.com/griffin_jennie/status/785990644133167104
Nick___Collins;12/10/2016 05:17;0;0;@MortuaryReport Reason I ask is I was diagnosed with type 1 bipolar , discussed lithium, had blood tests but nothing's happened;;@MortuaryReport;;7.86E+17;https://twitter.com/Nick___Collins/status/785952491280142336
_clvrarose;12/10/2016 04:27;1;3;By this time I was diagnosed with bipolar disorder I was previously diagnosed with severe clinical depression. Switched meds & took lithium;;;;7.86E+17;https://twitter.com/_clvrarose/status/785939880178290688
Gwen_Stacy95;12/10/2016 01:06;0;0;@kazoodad I hate therapists. My dad was one. I got diagnosed with a form of Bipolar anxiety and depression linked to the 2 when I was 13;;@kazoodad;;7.86E+17;https://twitter.com/Gwen_Stacy95/status/785889363292925952
SlimeSeason7;11/10/2016 12:43;0;2;Happy #WorldMentalHealthDay ! I was diagnosed with bipolar disorder at 18 and have been medicine free for two years! #copingskills;;;#worldmentalhealthday #copingskills;7.86E+17;https://twitter.com/SlimeSeason7/status/785702365882122240
goldnalgas;11/10/2016 10:57;0;0;It wasn't until I dropped out my second semester of college at this hippie school that I was diagnosed with bipolar 2;;;;7.86E+17;https://twitter.com/goldnalgas/status/785675713441468416
Sarah_Samedi;11/10/2016 08:37;0;1;@mainemoosetrax that's fantastic! I was diagnosed with type 1 Bipolar disorder at 30 and at 36 finally found the right meds.;Hamilton, Ontario;@mainemoosetrax;;7.86E+17;https://twitter.com/Sarah_Samedi/status/785640510799183872
Cait_taylorr;11/10/2016 08:29;0;0;i was diagnosed with bipolar disorder 1, depression, anxiety and ptsd, but i don't let it define me https:// twitter.com/phil500/status /785601760115187712 ;Houston, TX;;;7.86E+17;https://twitter.com/Cait_taylorr/status/785638372253413378
ajm0810;11/10/2016 08:00;0;0;Today, I was just diagnosed with bipolar disorder. After being called depressed for two years, I now know why those meds haven't worked;;;;7.86E+17;https://twitter.com/ajm0810/status/785631202652852224
VivianIsNotArt;11/10/2016 07:00;1;0;I was diagnosed with Bipolar I Disorder and Borderline Personality Disorder... Later, Generalized Anxiety...;;;;7.86E+17;https://twitter.com/VivianIsNotArt/status/785615937827328000
sassylibrarian1;11/10/2016 06:13;0;1;I was diagnosed with bipolar I and borderline personality disorder in 2011. I've been hospitalized 4 times for related complications.;;;;7.86E+17;https://twitter.com/sassylibrarian1/status/785604190789787648
zan_knee;11/10/2016 05:25;0;6;I was diagnosed with bipolar in february, and i've been trying to figure out what this means for me ever since. Here's what I've figured out;;;;7.86E+17;https://twitter.com/zan_knee/status/785592162503184384
DocFiBrown;11/10/2016 04:20;2;3;#WorldMentalHealthDay - If I was diagnosed with cancer or arthritis you might help, why should it be different for bipolar or schizophrenia?;;;#worldmentalhealthday;7.86E+17;https://twitter.com/DocFiBrown/status/785575651885613056
lostsoulsalex;11/10/2016 04:02;0;2;A few years back I was diagnosed with bipolar disorder after losing my mind for 9 months (and nearly my life). On the whole I'm better now.;;;;7.86E+17;https://twitter.com/lostsoulsalex/status/785571280946946048
jenmacramos;11/10/2016 03:05;0;4;I was blogging about my challenges after being diagnosed with Bipolar II but haven't kept up with it. But. I'm in treatment now.;;;;7.86E+17;https://twitter.com/jenmacramos/status/785556946401099776
Caserno1015;11/10/2016 02:42;0;1;@Rizzmigizz dude I was diagnosed with bipolar and bpd in same year. Went on meds. Went crazy destroyed my life.;;@Rizzmigizz;;7.86E+17;https://twitter.com/Caserno1015/status/785551168281862145
sassykaaay;11/10/2016 01:48;1;4;Two years ago I was diagnosed with bipolar disorder, PTSD and anxiety. And I am still happy. #WorldMentalHealthDay;;;#worldmentalhealthday;7.86E+17;https://twitter.com/sassykaaay/status/785537471832399872
Lesh_taboo;11/10/2016 00:43;0;1;Earlier this year I was diagnosed with bipolar disorder and major depression, I spent three weeks in a mental wellness clinic;;;;7.86E+17;https://twitter.com/Lesh_taboo/status/785521140320141314
Self_Made_Mena;10/10/2016 23:04;0;2;It's #WorldMentalHealthDay . Here's my story: Starting at age 16 I was diagnosed with PTSD, later also as Bipolar II, Borderline, DID & more.;;;#worldmentalhealthday;7.85E+17;https://twitter.com/Self_Made_Mena/status/785496331200651265
CipollaKate;10/10/2016 22:29;1;1;When I was 14 years old, I was diagnosed with anxiety and depression, which would later become a bipolar diagnosis.;;;;7.85E+17;https://twitter.com/CipollaKate/status/785487478153183233
taniaanicoleee;10/10/2016 22:23;0;2;I was diagnosed with bipolar , depression, anxiety & multi personality disorder (not as severe) so when people tell me people have it worse;;;;7.85E+17;https://twitter.com/taniaanicoleee/status/785485869742370820
BachynskiBomber;10/10/2016 22:23;0;0;@Sandi_leeT I mostly posted it for myself. I was diagnosed with Bipolar disorder when I was 16 and am on disability because of it right now;;@Sandi_leeT;;7.85E+17;https://twitter.com/BachynskiBomber/status/785485803472326656
dandyserenity;10/10/2016 21:09;0;0;Earlier this year I was diagnosed with bipolar 2. It took a mental breakdown for me to finally get passed the shame and get help. https:// twitter.com/wilw/status/78 5466143972753408 ;;;;7.85E+17;https://twitter.com/dandyserenity/status/785467350849957889
Johnwrd36;10/10/2016 19:19;0;1;At the age of 15 I was diagnosed with Bipolar Disorder... It's okay to not be okay <3 #WorldMentalHealthDay pic.twitter.com/ahE3va1TjN;;;#worldmentalhealthday;7.85E+17;https://twitter.com/Johnwrd36/status/785439514424664064
QueenDhami;10/10/2016 18:51;0;0;I was just out of elementary school when I was diagnosed with BiPolar Disorder. You ARE NOT defined by your illness. #WorldMentalHealthDay .;Surrey, British Columbia;;#worldmentalhealthday;7.85E+17;https://twitter.com/QueenDhami/status/785432646130085888
missmyerz9123;10/10/2016 18:41;0;0;Past 5 yrs I was fobbed off by the MH team, only a week before Christmas last year I was diagnosed with Bipolar Type 2 #WorldMentalHealthDay;;;#worldmentalhealthday;7.85E+17;https://twitter.com/missmyerz9123/status/785430166428389376
badkidvictoria;10/10/2016 18:30;2;11;"A year ago I was diagnosed with Bipolar Disorder. I was at my lowest, but I got the help I needed; it does get better. #WorldMentalHealthDay";;;#worldmentalhealthday;7.85E+17;https://twitter.com/badkidvictoria/status/785427354504007680
TheRealSupermum;10/10/2016 17:41;1;4;I was diagnosed with bipolar 6 years ago when I was 5 months pregnant with my 6th baby #WorldMentalHealthDay #WMHD16;;;#worldmentalhealthday #wmhd16;7.85E+17;https://twitter.com/TheRealSupermum/status/785415062903201796
tahmorrow;08/10/2016 22:05;0;1;@narwhalvibes I was diagnosed with bipolar six/seven years ago and only just found this out and now everything makes more sense!!!;;@narwhalvibes;;7.85E+17;https://twitter.com/tahmorrow/status/784756581699231745
PsychDrugsKill;08/10/2016 17:27;0;0;@taya_wilkinson I was diagnosed with Major Depression and GAD. That was followed, post meds with Bipolar & Borderline Personality Disorder.;;@taya_wilkinson;;7.85E+17;https://twitter.com/PsychDrugsKill/status/784686616757407744
DefyingShadows;08/10/2016 14:30;0;0;As some of you know, I was diagnosed with Bipolar Disorder two years. http:// defyingshadows.com/2016/10/08/men tal-health-week-bipolar-disorder  pic.twitter.com/DWru3szSxb;;;;7.85E+17;https://twitter.com/DefyingShadows/status/784642079607689219
OnlineInfo101;08/10/2016 04:02;0;1;Question: People are refusing to hiring me because of mental health what can I do?: I was diagnosed with Bipolar  http:// yhoo.it/2dkOevH;;;;7.84E+17;https://twitter.com/OnlineInfo101/status/784483993802551296
AmericanRx;08/10/2016 04:02;0;0;Question: People are refusing to hiring me because of mental health what can I do?: I was diagnosed with Bipolar  http:// yhoo.it/2dkOevH;;;;7.84E+17;https://twitter.com/AmericanRx/status/784483989075525632
kayla_maturey;08/10/2016 01:47;0;0;@ddlovato I just want to say im PROUD of all you accomplished in adulthood then havin bipolar .Ive was Diagnosed with Bipolar since i was 8;;@ddlovato;;7.84E+17;https://twitter.com/kayla_maturey/status/784450007692775424
zaaria_;07/10/2016 03:22;0;0;Like this girl just said I was diagnosed with bipolar and severe anxiety and then just left.;;;;7.84E+17;https://twitter.com/zaaria_/status/784111558184038401
IntlBipolar;06/10/2016 18:11;1;0;@TeresaSmeigh talks about What I Wish I Knew Before I Was Diagnosed With #Bipolar  for #SayItForward http:// buff.ly/2cUCBuv #DearTeenageMe pic.twitter.com/dr3XDLdbfl;;@TeresaSmeigh;#bipolar #sayitforward #dearteenageme;7.84E+17;https://twitter.com/IntlBipolar/status/783972841305808896
diivgrrl;06/10/2016 15:06;0;0;Why'd you leave cal state? if you don't mind  that's when i was diagnosed with bipolar disorder. ... http:// curiouscat.me/diivgrrl/post/ 28907260 ;;;;7.84E+17;https://twitter.com/diivgrrl/status/783926351455776768
RashadHouston;06/10/2016 07:08;4;9;When I was first diagnosed with bipolar disorder I wasn't surprised but I was hurt. I knew the real fight had just begun. #YouGoodMan;Hampton, VA;;#yougoodman;7.84E+17;https://twitter.com/RashadHouston/status/783805985735471104
PanicAtTheSisqo;06/10/2016 01:51;0;0;@BongoMuffing lol shhhh shhhh don't listen I was diagnosed with bipolar disorder like 7 years ago and I drink so much;;@BongoMuffing;;7.84E+17;https://twitter.com/PanicAtTheSisqo/status/783726423240564737
bipolarnana1;06/10/2016 01:47;1;4;In 2000, I was diagnosed with Bipolar , 50 year old! !What's wrong with this picture? No one should be turned away for screening like I was .;;;;7.84E+17;https://twitter.com/bipolarnana1/status/783725240308293632
NayaHoe;06/10/2016 01:03;0;0;I was diagnosed with anxiety, depression and put on medicine for bipolar disorder pic.twitter.com/MglY4jYNcT;;;;7.84E+17;https://twitter.com/NayaHoe/status/783714339345698816
MeMyselfAnNy;05/10/2016 21:29;0;0;@IMBACKWHOLETIME lmfaoooooo deadass though when I was diagnosed with Bipolar disorder and depressed af it wasn't all these people supporting;;@IMBACKWHOLETIME;;7.84E+17;https://twitter.com/MeMyselfAnNy/status/783660480980258817
AisforPooty_;05/10/2016 21:25;0;0;I was diagnosed with Bipolar Disorder 1 with severe depression and anxitey on top of PTSD in 2014.;;;;7.84E+17;https://twitter.com/AisforPooty_/status/783659379908149249
iemaabdullah_;05/10/2016 20:47;0;0;@theuwais07 i was diagnosed with bipolar and rn i tak tahu nak handle pressure yang ada, so i stress all the time and i dah takde motivation;;@theuwais07;;7.84E+17;https://twitter.com/iemaabdullah_/status/783649759835803648
_funkycold13_;05/10/2016 19:28;0;0;@SRDtv I was diagnosed with depression, bipolar disorder, & anxiety, I've been on pills for it for a loooong time, but I'm not tryna die any;;@SRDtv;;7.84E+17;https://twitter.com/_funkycold13_/status/783629846064861184
Christian_EGL;05/10/2016 11:21;1;5;i lie and say i'm bipolar to avoid being played with. the gag is i was clinically diagnosed with anger management issues. gotcha;;;;7.84E+17;https://twitter.com/Christian_EGL/status/783507473001054208
oakenisoaken;05/10/2016 03:26;0;1;@Chelydros I was falsely diagnosed with /medicated for bipolar disorder (at 15!) after my abusive parents lied about how I behaved.;;@Chelydros;;7.83E+17;https://twitter.com/oakenisoaken/status/783387907776057344
IsaiahLCarter;05/10/2016 01:31;0;1;So I was diagnosed with bipolar disorder not too long ago...;;;;7.83E+17;https://twitter.com/IsaiahLCarter/status/783358844374282241
emmaftdean;04/10/2016 12:35;0;1;but still not nearly enough. It wasn't until I was diagnosed (with bipolar disorder in 2013, depression was 2012) where I learned more.;Niagara Falls, NY;;;7.83E+17;https://twitter.com/emmaftdean/status/783163530967150592
xxhatred;04/10/2016 04:50;0;0;@boatracecarlo I was actually originally diagnosed with bipolar while in a mental hospital during a manic episode, then went to depressed;;@boatracecarlo;;7.83E+17;https://twitter.com/xxhatred/status/783046699711356928
