username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_cass_xx;04/10/2016 12:02;0;0;@taylorcaniff yeah.. I was diagnosed with anxiety /depression when I was 7.;;@taylorcaniff;;7.83E+17;https://twitter.com/_cass_xx/status/783155252585529344
_dalaynee_;10/09/2016 12:45;0;2;@SkyDoesTweeting I hate today. I was diagnosed with depression/ anxiety and now I find out my childhood friend is a child molester. Luv2u;;@SkyDoesTweeting;;7.74E+17;https://twitter.com/_dalaynee_/status/774468797163905024
_DiamondNVO;12/05/2014 04:43;0;0;I was just diagnosed with general anxiety disorder. Lol I figured..;;;;4.66E+17;https://twitter.com/_DiamondNVO/status/465593139869548545
_dream_big_14;25/06/2016 09:09;0;0;@Ashton5SOS Thank you for helping save my life. I was diagnosed with depression and anxiety and I had awful panic attacks. You and the other;;@Ashton5SOS;;7.47E+17;https://twitter.com/_dream_big_14/status/746510471721787393
_ElizabethMay;06/03/2016 19:23;0;1;@joanculum I was diagnosed with generalised anxiety , but impostor syndrome is a pretty big part of that.;;@joanculum;;7.06E+17;https://twitter.com/_ElizabethMay/status/706439993116467200
_Emmmeee_;14/11/2016 10:58;0;0;I literally have no control over it. I was diagnosed with severe anxiety and depression at 19. I'm 25 now and it still plagues me often.;;;;7.98E+17;https://twitter.com/_Emmmeee_/status/797997186629832704
_EricaTatiana;27/10/2016 10:02;0;0;@deisyyy08 have you gotten that checked? I was diagnosed with severe depression & anxiety;;@deisyyy08;;7.91E+17;https://twitter.com/_EricaTatiana/status/791460125236092928
_fightingfish;04/08/2016 13:25;0;1;"i was diagnosed with anxiety and depression while in uni in the US; transitioning back to msia has exposed me to lots of policy gaps wrt MI.";;;;7.61E+17;https://twitter.com/_fightingfish/status/761070504568508421
_funkycold13_;05/10/2016 19:28;0;0;@SRDtv I was diagnosed with depression, bipolar disorder, & anxiety , I've been on pills for it for a loooong time, but I'm not tryna die any;;@SRDtv;;7.84E+17;https://twitter.com/_funkycold13_/status/783629846064861184
_getswoon;01/08/2016 11:40;0;0;Past week I was diagnosed with anxiety disorder. It was hell week.;;;;7.60E+17;https://twitter.com/_getswoon/status/759956833452699648
_haybaby;19/05/2014 11:34;0;0;It's been one year today since I was diagnosed with anxiety and depression.;;;;4.68E+17;https://twitter.com/_haybaby/status/468233170966417408
_ItsBriiii_;29/10/2016 05:13;0;0;And I was actually diagnosed with depression and anxiety . People don't understand how this can be;;;;7.92E+17;https://twitter.com/_ItsBriiii_/status/792112149241835520
_itsbrogaaaan;03/07/2014 23:29;0;0;then I actually did pass out then apparently I was diagnosed with anxiety , anaemia & slight depression. Idk.;;;;4.85E+17;https://twitter.com/_itsbrogaaaan/status/484720712608129024
_jasoncobb;15/05/2014 04:53;0;0;First photo was back in 2001-ish. Yes, I was 400+ pounds. Diagnosed with depression, anxiety , high blood... http:// fb.me/2GB1CHUJy;;;;4.67E+17;https://twitter.com/_jasoncobb/status/466682641312657409
_jatez;12/05/2016 08:07;0;0;I was diagnosed with an anxiety disorder figures...;;;;7.31E+17;https://twitter.com/_jatez/status/730549890418388992
_Juniormonroe;07/06/2014 20:53;0;0;2) I was diagnosed with social anxiety disorder on the 4th of September 2010. #50FactsAboutMe;;;#50factsaboutme;4.75E+17;https://twitter.com/_Juniormonroe/status/475259129146392576
_LETITBExo;31/05/2014 10:02;0;0;@cmcciintyree yeah I'm on a medical leave of absence. I was diagnosed with severe depressions, & suffer from panic& anxiety attacks;;@cmcciintyree;;4.73E+17;https://twitter.com/_LETITBExo/status/472558743792922624
_letmedie_1;06/09/2014 07:45;0;0;I was diagnosed with clinical anxiety and depression;;;;5.08E+17;https://twitter.com/_letmedie_1/status/508038341200465920
_LiMaMo_;10/10/2016 18:12;0;1;When I was 15, I was diagnosed with depression. When I was 23 I was diagnosed with anxiety . This doesn't define me. #WorldMentalHealthDay;;;#worldmentalhealthday;7.85E+17;https://twitter.com/_LiMaMo_/status/785422854733107201
_makayla_rae;29/01/2015 00:43;0;1;I was diagnosed with depression, anxiety , and post traumatic stress syndrome. And I am not ashamed.;;;;5.60E+17;https://twitter.com/_makayla_rae/status/560478187713355776
_mommawolf;03/02/2015 01:12;0;1;I was diagnosed with manic depression(BD) / severe anxiety and I could REALLY tell you what the fuck it feels like.;;;;5.62E+17;https://twitter.com/_mommawolf/status/562297622145138689
_newhorizon;12/09/2016 10:18;0;13;Mental health is so important. I went to see a doctor last week and I was diagnosed with anxiety disorder and depression.;Fairland, MD;;;7.75E+17;https://twitter.com/_newhorizon/status/775156705688715265
_nurseolivia;30/03/2016 22:04;1;4;a few months ago I was diagnosed with generalized anxiety disorder and major depression- you never know what people are going through;;;;7.15E+17;https://twitter.com/_nurseolivia/status/715178003244908544
_Party_Monster_;29/01/2015 06:44;3;4;This year I was diagnosed with depression and an anxiety disorder. I used my friends and hope that you'll use me the same way #BeIlLetsTalk;;;#beilletstalk;5.61E+17;https://twitter.com/_Party_Monster_/status/560569237811789824
_peachyem;18/05/2016 07:45;0;7;ive been diagnosed with anxiety and depression since i was three and i still manage to be as positive as I possibly can. you cant be negati;;;;7.33E+17;https://twitter.com/_peachyem/status/732718833849487360
_Pink_Bunn_;14/10/2016 03:24;0;0;I was diagnosed with depression and anxiety at age 8, please stop pretending you have it, its not good;;;;7.87E+17;https://twitter.com/_Pink_Bunn_/status/786648708100128768
_PrincessAyana_;25/08/2014 10:19;0;1;I was just diagnosed with anxiety;Destin, FL;;;5.04E+17;https://twitter.com/_PrincessAyana_/status/503728402822877184
_princessjes;10/07/2015 23:42;0;2;So friends, I was officially diagnosed with anxiety and PTSD last night. I am kinda relieved that it wasn't all in my head.;;;;6.20E+17;https://twitter.com/_princessjes/status/619532183493971969
_prom_prom;16/07/2015 06:17;0;2;I was diagnosed with depression and anxiety in the 7th grade... I've gotten a lot better but not where I want to be https:// twitter.com/WokePrincess/s tatus/621443357940674560 ;;;;6.21E+17;https://twitter.com/_prom_prom/status/621443599721496576
_queen_beaa;12/08/2016 11:03;0;0;@_queen_beaa I was diagnosed with this at the age of 8. Anxiety is very serious and effects many people of all ages. pic.twitter.com/TGyRyZMI1F;;@_queen_beaa;;7.64E+17;https://twitter.com/_queen_beaa/status/763933987228102656
_queen_x;11/10/2016 10:28;0;3;I was diagnosed with anxiety at 9 years old. So I'm kind of tired of all these girls drawing attention to themselves bc of their  anxiety .;;;;7.86E+17;https://twitter.com/_queen_x/status/785668472055353345
_rainfall_33;16/06/2014 23:25;0;0;@GamerButton_R34 (( going through suicide alot and i was diagnosed with anxiety badly));;@GamerButton_R34;;4.79E+17;https://twitter.com/_rainfall_33/status/478558914448207872
_RonDaDon_;26/11/2015 00:15;0;0;I was supposed to be diagnosed with anxiety and depression a looooonnnggg time ago.;;;;6.70E+17;https://twitter.com/_RonDaDon_/status/669550023739351040
_roniolson;18/03/2015 13:13;0;1;I was diagnosed with severe anxiety and I use marijuana to aid medicate, and it helps.;;;;5.78E+17;https://twitter.com/_roniolson/status/578061604131975168
_Sabrenee;28/09/2016 09:14;0;4;i wish i didnt have anxiety but i was diagnosed with it, so wth do you want me to do? i cant control it no matter what medication i use.;;;;7.81E+17;https://twitter.com/_Sabrenee/status/780938646039908353
_sarahdorman;11/09/2016 05:06;0;0;but they were convinced the pills just weren't strong enough, UP the dosage! Also, this is when I was diagnosed with anxiety & treated that;;;;7.75E+17;https://twitter.com/_sarahdorman/status/774715644755542016
_starv;11/10/2016 03:05;0;0;#WorldMentalHealthDay was diagnosed with generalized anxiety disorder, depression, and ocd tendencies when I was 13/14;;;#worldmentalhealthday;7.86E+17;https://twitter.com/_starv/status/785556893162958848
_Steezysteez;25/06/2014 04:59;0;0;I was diagnosed with PTSD and mild anxiety . And they think Zoloft is going to fix me. Haha.;;;;4.82E+17;https://twitter.com/_Steezysteez/status/481542087876157440
_TERRiffic;05/08/2014 06:36;0;0;Since I was diagnosed with clinical depression and a severe anxiety disorder eight years ago this http:// instagram.com/p/rSxlmlvN88/;Bethlehem, PA;;;4.96E+17;https://twitter.com/_TERRiffic/status/496424492915523584
_teyannaa;29/11/2015 12:58;0;0;"I wish I would have been 15 when I was diagnosed with SEVERE depression and anxiety ; instead I was EIGHT. https:// twitter.com/rregulusbiack/ status/670709752280850433 ";;;;6.71E+17;https://twitter.com/_teyannaa/status/670829199121190912
_thatMDgirl;04/04/2016 01:13;0;0;Jr year sucked ass, that's when I found out I was diagnosed with depression & Anxiety . And looking awkward just didn't help;;;;7.17E+17;https://twitter.com/_thatMDgirl/status/716675020068560896
_TinyElephant__;15/01/2015 06:25;0;0;I used to be a competitive dancer but I was diagnosed with anxiety and I had to stop but I feel like that was a stupid reason;;;;5.55E+17;https://twitter.com/_TinyElephant__/status/555490855579316224
_YungSavvvyyy;26/04/2014 09:03;0;0;@Trii_Trii_ for anxiety depression and bipolar it's prescribed lol that's what I was diagnosed with I'm crazy;;@Trii_Trii_;;4.60E+17;https://twitter.com/_YungSavvvyyy/status/459860175797501954
0_smileyface;29/11/2015 07:11;2;9;I was diagnosed with severe depression and anxiety and I'm slowly working my way up again #MentalHealthPosi pic.twitter.com/val8sVpIRM;;;#mentalhealthposi;6.71E+17;https://twitter.com/0_smileyface/status/670741936987328512
00Rocker00;29/05/2014 11:11;0;0;@brvdleysoileau I was diagnosed with it, but I reckon it's actually anxiety :/;;@brvdleysoileau;;4.72E+17;https://twitter.com/00Rocker00/status/471851403871129600
01001011x;17/04/2016 06:55;0;0;I only recently got diagnosed with social anxiety though, I was diagnosed with panic disorder and separation anxiety when I was 7;;;;7.21E+17;https://twitter.com/01001011x/status/721472018898624512
0ldskool_kreep;08/07/2016 08:11;0;0;@tezzyboi15 lol no, I was diagnosed with anxiety a year ago.;;@tezzyboi15;;7.51E+17;https://twitter.com/0ldskool_kreep/status/751207111988637700
121melissaAnn;28/01/2016 09:48;8;0;#BellLetsTalk because when I was diagnosed with anxiety , I was told to stop worrying so much;;;#bellletstalk;6.93E+17;https://twitter.com/121melissaAnn/status/692524668448817152
12ReasonsWhy;12/08/2014 19:05;0;0;@BE_Maika I've not had depression myself. But I read a lot of studies and books when I was diagnosed with severe anxiety as I wanted to know;;@BE_Maika;;4.99E+17;https://twitter.com/12ReasonsWhy/status/499149772063014912
16_Imperfect_Me;23/09/2015 00:55;0;0;Exactly what I was afraid of... Diagnosed with severe anxiety just slightly below the worst form of it...;;;;6.46E+17;https://twitter.com/16_Imperfect_Me/status/646367336119730176
16_leger;22/07/2015 22:42;0;2;Diagnosed with anxiety since I was 12, don't tell me it's not serious shit.;;;;6.24E+17;https://twitter.com/16_leger/status/623865743684333568
17thirtybae;23/02/2016 18:12;0;0;Guys when I went to Mexico I was fucked up. I came back to the U.S. And was diagnosed with severe anxiety and depression. Idk if I can talk;;;;7.02E+17;https://twitter.com/17thirtybae/status/702073602640707584
18met16;12/04/2015 05:42;0;0;3 - I was recently diagnosed with severe anxiety;;;;5.87E+17;https://twitter.com/18met16/status/587007776007843841
1a1unaa;13/10/2016 14:58;0;0;last year I was diagnosed with depression, this year with anxiety , I wonder what will be next;Brooklyn, NY;;;7.86E+17;https://twitter.com/1a1unaa/status/786461205930057728
1Dstylesirma;05/05/2015 17:36;0;0;The amount of times I wish I was not diagnosed with Generalized Anxiety Disorder;;;;5.96E+17;https://twitter.com/1Dstylesirma/status/595522366224084993
1SoFlo;22/04/2016 00:18;0;0;Diagnosed with anger and anxiety . Told y'all niggas I was crazy;;;;7.23E+17;https://twitter.com/1SoFlo/status/723184231409717248
2006mrsb;12/05/2014 21:30;0;0;@DoctorChristian @ezzarose1 Definitely. I was diagnosed with health anxiety after my nan died and dr/counsellor been a huge help;;@DoctorChristian @ezzarose1;;4.66E+17;https://twitter.com/2006mrsb/status/465846462950428673
21Keys;19/08/2016 04:00;0;0;A few years ago, I was diagnosed with a severe anxiety disorder! Now I'm 7 months anxiety attack URL instagram.com/p/BJQX9UDgOv6/;;;;7.66E+17;https://twitter.com/21Keys/status/766364084996546560
2curlykitties;30/08/2015 15:48;0;0;It's just over 2 years since I was diagnosed with #anxiety and #depression . Today I'm taking a moment to reflect on how far I've come since.;;;#anxiety #depression;6.38E+17;https://twitter.com/2curlykitties/status/637894677824413696
2Stripz;28/01/2015 23:11;7;2;I was diagnosed with depression and anxiety about 6 months ago, talking helps #BellLetsTalk;;;#bellletstalk;5.60E+17;https://twitter.com/2Stripz/status/560455070996000768
311prisoner;17/10/2015 14:58;0;3;(Jail, rehab, wife separation anxiety ) if only twitter was around when I was a 12 year old diagnosed with cancer haha. Only thing missing;;;;6.55E+17;https://twitter.com/311prisoner/status/655276783923806208
337bot;08/04/2015 11:04;0;0;@mechapoetic Your braver than, I. I was diagnosed with anxiety disorders long ago, and longtime close personal friends r just finding out.;;@mechapoetic;;5.86E+17;https://twitter.com/337bot/status/585639410793844737
473109Esmieu;21/08/2016 02:41;0;1;@jacobsartorius Thanks so much Jacob you've been with me since I was diagnosed with anxiety;;@jacobsartorius;;7.67E+17;https://twitter.com/473109Esmieu/status/767069051201941505
4kimmeh;27/01/2016 13:18;0;1;@JustinTrudeau - I was diagnosed with Bi-polar, Anxiety Disorder&was mentally abused by my Ex. I had no family support.It is all in my head.;;@JustinTrudeau;;6.92E+17;https://twitter.com/4kimmeh/status/692215017572306945
59b881396b70425;18/01/2015 08:00;0;0;@CDiabetesInfo I was diagnosed with PTSD, major depression and anxiety attacks. And food became my addiction, especially chocolate.;;@CDiabetesInfo;;5.57E+17;https://twitter.com/59b881396b70425/status/556602053657911296
5everluv5sos;23/06/2016 10:17;0;1;Fun fact: In 7th grade I was diagnosed with bipolar depression and an anxiety disorder but I always try to see the positive side of things.;;;;7.46E+17;https://twitter.com/5everluv5sos/status/745802881719275520
5secofperfxct;24/12/2015 12:38;0;0;Never told anyone this but I was diagnosed with anxiety when I was younger and I still have it.. it's hard, it really is.. and I hate..;;;;6.80E+17;https://twitter.com/5secofperfxct/status/679883866476294145
5SOS_Ravens;11/10/2016 03:51;0;2;When I was diagnosed with depression and anxiety after my moms death, I was heartbroken but I am still growing #WorldMentalHealthDay;;;#worldmentalhealthday;7.86E+17;https://twitter.com/5SOS_Ravens/status/785568435778584577
5SosJanoskiann;04/05/2016 11:07;0;0;So let me explain why I was inactive. I was diagnosed with Anxiety Severe Depression And to top it off an eating disorder I'm sorry.;;;;7.28E+17;https://twitter.com/5SosJanoskiann/status/727696030834122753
666sarrah;21/08/2014 07:04;0;0;I'm going to be mature righnow...idk hey I'm saying this to everyone out public.. I was just diagnosed with depression & anxiety .yes I'm sad;;;;5.02E+17;https://twitter.com/666sarrah/status/502229635774836736
7imothysucks;17/05/2016 07:45;0;0;You know how to socialize you just don't yeah I think that's called social anxiety and I think I was diagnosed with that thx mom;;;;7.32E+17;https://twitter.com/7imothysucks/status/732356347078021120
8595cheer;20/11/2015 06:35;0;0;@JessiiVee this is a really bad time In my life right now and I was diagnosed with depression and anxiety but YouTube is my safe place luv u;;@JessiiVee;;6.67E+17;https://twitter.com/8595cheer/status/667471370536665088
8ky6lubaby95;08/04/2014 06:45;0;0;#RandomFactAboutMe I was 10 when I was diagnosed with severe anxiety attacks. I litterally looked like I was 4-5 years old.;;;#randomfactaboutme;4.53E+17;https://twitter.com/8ky6lubaby95/status/453302483981729794
90s_heartbreak;21/12/2015 12:00;0;0;Like I seriously thought that shit was a joke until I was diagnosed with an anxiety disorder...;;;;6.79E+17;https://twitter.com/90s_heartbreak/status/678787117548445700
A_Buzzers;02/04/2015 13:30;0;4;For those that don't know, I was diagnosed with depression and high anxiety two months ago. I've gone through a lot of shit, okay.;;;;5.84E+17;https://twitter.com/A_Buzzers/status/583501687798636544
a_diddles;27/01/2016 22:38;0;0;I was diagnosed with anxiety and severe depression when I was only 13. You're not alone! #BellLetsTalk;;;#bellletstalk;6.92E+17;https://twitter.com/a_diddles/status/692355911407538177
a_diddles;28/01/2015 14:06;0;0;I was diagnosed with severe depression at the age of 13, alongside an anxiety disorder, and ADHD. #BellLetsTalk;;;#bellletstalk;5.60E+17;https://twitter.com/a_diddles/status/560318068732489728
a_lorenz98;04/11/2015 08:03;0;2;I was just diagnosed with Separation Anxiety Disorder from my boyfriend;;;;6.62E+17;https://twitter.com/a_lorenz98/status/661695322201137153
A_Southern_Gal;03/09/2014 06:48;0;0;So my doctors appointment went interesting... I was diagnosed with severe anxiety and depression;;;;5.07E+17;https://twitter.com/A_Southern_Gal/status/506936719640625152
aaldewitt;05/04/2016 11:25;0;0;I have PTSD, severe social anxiety , & before the PTSD diagnosis, I was diagnosed with depression. I've lived w/ it all my life.;;;;7.17E+17;https://twitter.com/aaldewitt/status/717191349355855872
aalissa_leo;07/11/2015 13:19;0;0;Anxiety is probably the worst thing I was ever diagnosed with . pic.twitter.com/vpWcxZNSIz;;;;6.63E+17;https://twitter.com/aalissa_leo/status/662861798337458181
abbacchiowo;31/08/2016 17:11;0;1;3 years ago today I was diagnosed with social anxiety <333 happy 3 years baby I love u;;;;7.71E+17;https://twitter.com/abbacchiowo/status/770911873956843521
AbbiePerry18;04/04/2014 23:06;0;0;@jenniegarth your book is amazing, I can't stop reading it . I noticed you suffered anxiety I was diagnosed with anxiety and panic attacks x;;@jenniegarth;;4.52E+17;https://twitter.com/AbbiePerry18/status/452099844300361728
abby__bryant;22/08/2015 11:46;0;0;In May I was diagnosed with trichotillomania & they increased my anxiety meds. My hair has grown 2-3 inches since then I'm so happy;;;;6.35E+17;https://twitter.com/abby__bryant/status/634934533763264512
abelftgambino;24/05/2014 10:21;0;0;@EXOTICMCCANS @drunkoffbiebur I was diagnosed with an anxiety disorder too so I know how you feel;;@EXOTICMCCANS @drunkoffbiebur;;4.70E+17;https://twitter.com/abelftgambino/status/470026664756260864
aberrantalicia;16/07/2014 10:26;0;0;so today i was diagnosed with anxiety and ocd as well.;;;;4.89E+17;https://twitter.com/aberrantalicia/status/489234575181107201
ABrighterDay4u;22/07/2015 01:12;0;0;I was first diagnosed with depression when I was 15 (I think) then a few years ago I was diagnosed with anxiety .... http:// fb.me/37DHRGMU6;;;;6.24E+17;https://twitter.com/ABrighterDay4u/status/623540961617051648
ABrighterDay4u;08/09/2014 00:30;0;1;Anyone else diagnosed with GAD? I was diagnosed last year, when my anxiety got really bad, but when I look back I... http:// fb.me/3PdZfbh9q;;;;5.09E+17;https://twitter.com/ABrighterDay4u/status/508653438520287232
AbsoluteKit;11/03/2015 21:26;0;0;thebeastpack: Today I was diagnosed with extreme depression, extreme anxiety and severely low self image.... http:// tmblr.co/Zg0ZKx1fZYMrr;;;;5.76E+17;https://twitter.com/AbsoluteKit/status/575648886326476800
AbstractAnthony;17/05/2016 02:59;0;0;So I was just diagnosed with Extreme Generalization of Anxiety Disorder and then also PTSD.. What in the actual fuck...;;;;7.32E+17;https://twitter.com/AbstractAnthony/status/732284281373007876
abzy_dynamo;10/08/2015 23:34;0;0;How? @RyanJKaz : I'm confident enough to say that I'm conquering the Generalized Anxiety Disorder I was diagnosed with .;;@RyanJKaz;;6.31E+17;https://twitter.com/abzy_dynamo/status/630764189410283521
acm716;23/09/2014 03:29;0;1;I just realized it has been six years since I was diagnosed with anxiety and major depression and holy shit I have come a long way #mylife;;;#mylife;5.14E+17;https://twitter.com/acm716/status/514134364587053057
acmalms;07/09/2015 10:24;0;0;@hannahwolf96 little secret.... I was diagnosed with clinical depression and severe panic anxiety disorder years ago.;;@hannahwolf96;;6.41E+17;https://twitter.com/acmalms/status/640712175682584577
ActorDanceSing;03/10/2016 04:42;0;3;Let me tell ya. I have struggled so much this year. I was officially diagnosed with anxiety and dermatillomania. Its not fun and the fact-;;;;7.83E+17;https://twitter.com/ActorDanceSing/status/782682194930176001
ActuallyADHD;15/01/2016 03:00;0;0;Hey! I'm 20, and I was diagnosed with #ADHD at 6, then with anxiety at 17. I take 36mg of Conerta, along wi... http:// tmblr.co/ZW2kNu1-tSy49;;;#adhd;6.88E+17;https://twitter.com/ActuallyADHD/status/687711015161720832
ActuallyADHD;10/12/2015 03:00;0;0;Anonymous said: I've known I've had depression and possibly anxiety long before I was diagnosed with ADHD.... http:// tmblr.co/ZW2kNu1zcp75X;;;;6.75E+17;https://twitter.com/ActuallyADHD/status/674665002247331844
ActuallyADHD;14/08/2015 07:40;0;0;So I was recently diagnosed with #ADHD , #depression , and #anxiety , but I go to see a therapist who is interes http:// tmblr.co/ZW2kNu1rxRKBv;;;#adhd #depression #anxiety;6.32E+17;https://twitter.com/ActuallyADHD/status/631973565215186944
actualtiramisu;15/01/2015 13:58;0;0;thinks back to when i was diagnosed with anxiety and mild depression and my mom told me to just pray when i felt nervous;;;;5.56E+17;https://twitter.com/actualtiramisu/status/555604804097941505
AdaleighK;28/01/2016 10:03;1;2;...didn't work like other people's. I was identified as gifted. I was diagnosed with anxiety , OCD and depression. #BellLetsTalk;;;#bellletstalk;6.93E+17;https://twitter.com/AdaleighK/status/692528515246374913
AdamAJTupper;29/01/2015 11:52;0;0;I was diagnosed with generalized anxiety disorder many years ago. Use to be on medication as well. It is a part of me. #BellLetsTalk;;;#bellletstalk;5.61E+17;https://twitter.com/AdamAJTupper/status/560646724323405824
AdamRuzek;08/04/2014 10:53;0;1;@AOlinsky_CPD (( I was just diagnosed with chronic anxiety in December- Not crazy, I swear! LOL and let me tell you- I can't wait to take...;;@AOlinsky_CPD;;4.53E+17;https://twitter.com/AdamRuzek/status/453365034647707648
adaptatixon;21/06/2016 11:45;1;2;of a mental illness you have, I promise that, that is untrue. I was diagnosed with severe anxiety and I managed to make peace with myself.;;;;7.45E+17;https://twitter.com/adaptatixon/status/745100179880087552
AddictsToday;23/04/2014 22:20;0;0;Hello Everyone, My name is Katelin. I was diagnosed with depression and anxiety at the age of 12. Add chronic... http:// fb.me/14t6NltRE;;;;4.59E+17;https://twitter.com/AddictsToday/status/458973571856228352
ADDvocacyCOACH;28/01/2016 06:04;4;5;I was diagnosed with #ADHD #depression and #anxiety in 2009. That day marked my vibrant new life full of hope and #givingback #BellLetsTalk;Halifax, Nova Scotia;;#adhd #depression #anxiety #givingback #bellletstalk;6.92E+17;https://twitter.com/ADDvocacyCOACH/status/692468248386867204
adelasteria;26/01/2015 11:50;0;0;@jonasweaver my psych told me she thinks I have PTSD and anxiety but I don't think I was officially diagnosed with anything;;@jonasweaver;;5.60E+17;https://twitter.com/adelasteria/status/559558928887869442
adele_delbert;08/04/2016 00:33;0;0;Officially been diagnosed with anxiety I didn't even know I had it untill I was diagnosed #anxietyproblems #anxiety never felt so scared;;;#anxietyproblems #anxiety;7.18E+17;https://twitter.com/adele_delbert/status/718114393272270848
ADlDASDUN;29/03/2015 02:22;2;14;I'm actually proud of myself because I was just diagnosed with anxiety and I came here alone. In the state capital. For a PROTEST. ALONE.;;;;5.82E+17;https://twitter.com/ADlDASDUN/status/581884076648476672
adlez_best_lez;14/06/2016 00:46;0;0;I had a weird moment at the doctor today when filling out the new patient form and didn't check that I was diagnosed with depression/ anxiety;;;;7.42E+17;https://twitter.com/adlez_best_lez/status/742397870200983552
AdlibAnarchist;04/05/2016 19:06;3;1;Got diagnosed with MDD. Had numerous anxiety attacks about missing assignments and getting fires until I accepted where I was at that point.;;;;7.28E+17;https://twitter.com/AdlibAnarchist/status/727816636154138624
Adolfhibsta;19/05/2015 19:18;0;0;Flush it down the toliet RT @Mervy_Skyy: I was diagnosed with Depression, Anxiety , & OCD yesterday....I been staring at these meds;;@Mervy_Skyy;;6.01E+17;https://twitter.com/Adolfhibsta/status/600621604666777600
