"username","text"
"leilani_ech","@leilani_ech ive been diagnosed with depression since i was 13 and anxiety since i was 16. im proud of myself for coming this far."
"katiehys","#MentalHealthAwarenessDay this year i feel like i've finally began to overcome the anxiety and depression i was diagnosed with 3 years ago"
"historyirwin","#WorldMentalHealthDay its been 4 years since i was diagnosed with severe anxiety and depression , 4 years since i got my first social worker+"
"clarethenerd","4 months since I was hospitalized 1 year since I was diagnosed with anxiety and depression and I'm still here #WorldMentalHealthDay"
"KathrineMook","In 2015 I was diagnosed with an anxiety disorder and depression . It was something I was very URL instagram.com/p/BLZboAgDo3t/"
"gen_mueller","I was diagnosed with OCD, anxiety, and depression #WorldMentalHealthAwarenessDay"
"Aoifemorrisonx","2 years ago I was diagnosed with anxiety and panic disorder with associated agoraphobia and depression . I choose to be open about it because"
"gfcbekah","5 years ago I was diagnosed with Depression and anxiety!!Can't believe how far I've come to get better but still a long way to go #WMHD16"
"TheBlackNerd","I was diagnosed with generalized anxiety and depression like 5 years ago and haven't gone to an actual therapist to get fully diagnosed!!!"
"theperksofgee","@HeythereIamacoo i was diagnosed with anxiety and depression last year, it's something i've struggled with since i was around 12/13 x"
"5SOS_Ravens","When I was diagnosed with depression and anxiety after my moms death, I was heartbroken but I am still growing #WorldMentalHealthDay"
"jammers2009","today is #WorldMentalHealthDay . i was diagnosed with anxiety and depression in high school. its a struggle every day."
"FoGaGarty","I was diagnosed with depression when I was 9. I've delt with an anxiety (trichotillomania) & eating disorder since 15 #WorldMentalHealthDay"
"femsekai","i was diagnosed with manic depression and severe social anxiety about two years ago and went to a therapist bc i'd been struggling with my"
"_starv","#WorldMentalHealthDay was diagnosed with generalized anxiety disorder, depression , and ocd tendencies when I was 13/14"
"JohnnyCullen","Two weeks ago, I was diagnosed with depression /anxiety. For #WorldMentalHealthDay , I wrote and did a video on it. https:// johnnycullen.net/2016/10/10/dia gnosis-depression-and-anxiety/ "
"linzlovesyou","#WorldMentalHeathDay fact- I was diagnosed with severe depression /anxiety @13, with some other fun stuff since. Transparency is sill hard."
"Perlalaloca","...earlier this year when I was diagnosed with anxiety & depression . Meds went me seriously wobbly & lots of you were brilliant & open..."
"ericsapp","Today is #WorldMentalHealthDay and even though I don't talk about it much, I was diagnosed with severe depression and anxiety two years ago"
"natezempel","I was diagnosed with social anxiety & depression 14 years ago. I battle everyday. You are not alone. #WorldMentalHealthDay"
"kickflipu","today is #mentalhealthday . 3yrs ago i got diagnosed with depression and social anxiety 2yrs ago i was diagnosed with DID 1 yr ago insomnia"
"sofiehouses","I was diagnosed with severe depression and anxiety in November 2015 #WorldMentalHealthDay"
"stylishgreyson","i still remember when i was diagnosed with social anxiety disorder & depression when i was 11, it was tough"
"rositaxpinosa","#WorldMentalHealthDay it was only recently that I was 'officially diagnosed' with depression and anxiety and I'm finally trying to get help-"
"BexWright_","i was diagnosed with anxiety and depression years ago, every day is a struggle, but i'm getting through it. #WorldMentalHealthDay"
"Buckyloves_Cap","Pt.2 young. Like, no fuck you. I was diagnosed with clinical depression and anxiety disorder. Don't you dare tell me- #WorldMentalHealthDay"
"dreadeere","#WorldMentalHealthDay i was clinally diagnosed with manic depression when I was in 7th grade, along with self harm and extreme anxiety...."
"RNB215","I was diagnosed with Depression /anxiety 2 months ago. Everyday is battle but I continue to fight and seek help #WorldMentalHealthDay"
"ItsMichelle1995","#WorldMentalHealthDay I was diagnosed with depression and anxiety about a month ago. If u think u have a mental illness see your doctor!"
"lonesoldier_97","@HDOnlineUK definitely! I was diagnosed with Gad and social anxiety about 4 years ago and depression just over 2 years x"
"_LiMaMo_","When I was 15, I was diagnosed with depression . When I was 23 I was diagnosed with anxiety. This doesn't define me. #WorldMentalHealthDay"
"Jasmine_Grace21","This summer I was diagnosed with depression & anxiety. This video really helped me so so much. Thank you @d_TRIX URL youtube.com/shared?ci=ED2q DbnZn_o "
"__limitlesss","Never dealt with depression but I was diagnosed with anxiety a long time ago. Runs in my fam. It's tough to deal with."
"BeingBethK","I was diagnosed with depression and anxiety about a year ago. It was much easier for me to admit that I had anxiety than depression ."
"Patryk_TMT","Kid Cudi has inspired me because he gave me the courage to acknowledge I was diagnosed with clinical depression and anxiety issues too"
"kristinakolbert","The year before I lost my health insurance, I was diagnosed with depression and anxiety. I had help for a good year. #tytlive"
"jakebe","When I was diagnosed with depression , anxiety disorder, and ADHD, it was such a relief. Finally knowing how my brain works... #YouGoodMan"
"AmyBeardMD","I was once was diagnosed with possible MS. I had suffered from depression , anxiety, acne, horrible... http:// fb.me/6GIRTBjer"
"thehippyhippie","by my apartment falling and killing me instantly. It was so bad. I wasn't diagnosed with severe depression and anxiety until I was older."
"kidyungn","I was diagnosed with depression and anxiety when my mother passed. Eligible for medicinal marijuana if I ever want it https:// twitter.com/L_Rocks_Well/s tatus/783658744580337664 "
"aribody_loveme","I was diagnosed with clinical depression and anxiety the summer of 2012. It's been a uphill battle since."
"iHateDanae","I got diagnosed with depression and anxiety last year after having battled it since I was a child. Took me until I turned 30 to seek help."
"lrhoweII","remember that time i was diagnosed with depression insomnia and anxiety and nobody told until i found the form me yeah nice"
"amysmolcic","Kid Cudi's music saved my life when I was diagnosed with clinical depression and anxiety years ago, it hurts so much to see him struggle."
"secretpml","13 - i was diagnosed with depression anxiety disorder and panic disorder two years ago"
"Kait_Alexa_","Its weird cause I've shown symptoms of depression longer than I've shown symptoms of anxiety but I was diagnosed with anxiety first."
"Kennyhyo","I was clinically diagnosed with extreme depression and anxiety which a lot of people don't know, I just want to be happy."
"_cass_xx","@taylorcaniff yeah.. I was diagnosed with anxiety/ depression when I was 7."
"laurenbrocious","@laurenbrocious my parents took me to the hospital and I ended up seeking help. I was diagnosed with clinical depression and anxiety."
"visforvaleria","I was diagnosed with generalized anxiety disorder + depression august 2014. it hasn't been an easy/fun ride and I've relapsed twice"
"littletinywing","@doubIestars :'c yeah tbh I started learning that when I was diagnosed with depression and anxiety back in high school cause I could --"
"txicabs","is it weird that i remember the exact date i was diagnosed with the dynamic duo of depression /anxiety without even having to think about it"
"cheywayout","I was diagnosed with depression & anxiety 4 years ago, but since i dont tell people, I wouldnt understand how it is and should just shut up"
"jbftacmparadise","After my grandpa passed away I was diagnosed with depression & my anxiety sky rocketed, but this summer I took the time to focus on myself &"
"luciebeexxx","This year I was diagnosed with ADD. Couple that with Anxiety and the Depression that runs through my family - I was thrilled, naturally."
"chakraranks","I've actually been diagnosed with both anxiety and depression . Years ago. When she told me anxiety, I was like DUH. Lol"
"miis_a_","@miis_a_ 6. i was diagnosed with anxiety and depression February 2015"
"sugasazucar","@ZestyFagottini now you see shit like this blows mine. I was diagnosed with depression and anxiety 2 years ago and the fact that this lil"
"IvyKungu","Fast forward to college when things were different. I was diagnosed with depression and then anxiety and I just felt overwhelmed."
"duckminton","This day, last year, I was diagnosed with Severe Social Anxiety Disorder coupled with depression . My Psychiatrist recommended I take pills."
"tenfuckingyears","TW/ I was diagnosed with social anxiety and depression but if you don't know me personally it doesn't exist?"
"MiaahBaabe_","Bein diagnosed with depression and anxiety was always something I was scared to talk about but knowing I'm not alone is what gets me through"
"maldonaldson3","i was diagnosed with depression anxiety and trichotillomania in 5th grade and moving up grades has been the. most. stressful. thing ever-"
"lmjauregui","i was pretty fucking sure i had depression & anxiety & was just diagnosed with both so did i not have them before?? https:// twitter.com/sluttyjoshlerr /status/777763734550740994 "
"diivgrrl","Art in general is great for the soul. And you take ...  i was diagnosed with social anxiety and depression ... https:// curiouscat.me/diivgrrl/post/ 21494537 "
"elissuhhh","Commercial: I was diagnosed with Depression , anxiety, and an eating disorder Me: lol me Mom: *throws popcorn at me* @r_rk_o"
"eleaanor__","@eleaanor__ I was diagnosed with clinical depression and anxiety aged 16, after a suicide attempt and being asked to leave sixth form"
"Sarah_Daae","@hell0imSarah_ this was me this time last month I was so unhappy - even was diagnosed with depression and anxiety.. I left and now im happy"
"MiroffWood","@dmmayer015 same I've been diagnosed with depression and anxiety so I understand how you feel I think I was about 16 or 17"
"KsJourney_","So yesterday was a big day for me. I was officially diagnosed with an eating disorder. #EatingDisorders #mentalhealth #anxiety #depression"
"VIILights","have you been diagnosed with an actual disorder? ju...  I was diagnosed with anxiety, but the depression is... https:// curiouscat.me/viilights/post /19453316 "
"_newhorizon","Mental health is so important. I went to see a doctor last week and I was diagnosed with anxiety disorder and depression ."
"joeythewoey","a few years ago, i was diagnosed with severe depression and anxiety and didnt think my life would be going anywhere."
"PrincessDrinn","Two years ago today, I was diagnosed with severe anxiety and depression . & everyday since I've been learning more & more about it and myself"
"Marissa_Pearson","My story of how I was diagnosed with depression & anxiety. I hope this helps someone #SuicideAwarenessDay https:// livingistheharderoption.wordpress.com/2016/01/18/liv ing-is-the-harder-option-my-story/ "
"_dalaynee_","@SkyDoesTweeting I hate today. I was diagnosed with depression /anxiety and now I find out my childhood friend is a child molester. Luv2u"
"writerchelsey","@UrsulaV why I've been diagnosed with depression , anxiety, and obsessive compulsive disorder, all of which I've had since I was a YOUNG kid."
"MadisonLoree","@officialMegann I feel you, pretty girl. I was just diagnosed with depression and anxiety and it's only getting worse. Here for you."
"thewitchoftrap","In January of this year, I was diagnosed with anxiety and depression . The diagnosis felt like a URL instagram.com/p/BKGpY3LgI7Y/"
"MissMoose217","I've been diagnosed with anxiety and depression since I was 8 years old and honestly it just doesn't get easier"
"gillykatic","a thread of lessons that i've learned since april when i was diagnosed with severe depression and anxiety disorder"
"JustAlittl_BRIT","hi Twitter. I was diagnosed with Depression and Generalized Anxiety today. if you're ever feeling out of place, talk to someone. thank you"
"Is_AnyoneThere","@lil_miss_caf I just wanted to.say I love your blog. I'd love to read more! I was diagnosed with severe depression and anxiety and I really"
"kmyre","I don't think anyone ever expects to be diagnosed with depression and/or anxiety. When I was first diagnosed I... http:// fb.me/5Fc7SCRFA"
"mackdaddychad","As some of you know in 2015 I was diagnosed with anxiety ADHD and depression . I also had a http:// ift.tt/2c3e37f pic.twitter.com/4JBDwLR8QX"
"Charlotte_97xx","@thetomska I was diagnosed with anxiety disorder in January, will I be more susceptible to developing depression ? :3"
"iamselenamar","I was diagnosed with lupus back in 2013 and it causes anxiety, depression and panic attacks, so I'm taking a break."
"BJSpearsWebSite","I was diagnosed with GAD: Generalized Anxiety Disorder Dysthymia: Chronic Low Grade Depression in 2007 #EndTheStigma https:// twitter.com/spreading_l0ve /status/771172452697190400 "
"bensanderr","feels weird posting about my personal life but i was diagnosed with depression and severe anxiety today"
"PrivOfSelena","I was diagnosed with lupus back in 2013 and it causes anxiety, depression and panic attacks, so I'm taking a break. https:// twitter.com/MarcailNicole/ status/770729586485186560 "
"DonniesCatch","I was also finally officially diagnosed with clinically severe depression and anxiety today, which makes me feel a lot better"
"vanessaxtwists","@Ayee_Laurweeny ya. I was diagnosed with anxiety last year & go in and out of depression . It's hard bc people don't always try to understand"
"Howellbrad88","When I was in high school I was diagnosed with social anxiety and depression and prescribed Alprazolam which I've never taken once."
"steeziesteelo","2011 I was diagnosed with high depression and anxiety. They tried to label me.. I haven't took any of the pills I'm supposed to, still goin"
"loveteach4","@realssullivan A yr ago I was diagnosed with depression and anxiety because I focused too much on others - teachers tend to do that."
"skatatrash","i was diagnosed with severe depression and anxiety. i was given antidepressants and ativan. i went back to school after holiday and looked"
"Managlyph","when i was 13, around the time i got diagnosed with anxiety/ depression i had my oc, sean, but he was more like an imaginary friend"
"TdAeTaUnM","@MannyMua733 I feel you Manny. I was diagnosed with depression and anxiety a couple years ago and it affects me at random"
"esc_key","I was diagnosed with depression and anxiety in college. I don't like to talk about it so potential clients don't think I'm weak."
"sinharel","I was just diagnosed with depression and anxiety and I knew for a long time but idk just hearing it from a therapist is idk"
"malaloves","I have battled anxiety and depression for years. I was diagnosed with postnatal depression after my son was... http:// fb.me/5rASbdUEJ"
"TeamPLF","@TheDreamGhoul I was diagnosed with clinical anxiety and depression recently (after years of thinking I could do it by myself) and your-"
"TheDreamGhoul","I've been diagnosed with depression and anxiety since I was an adolescent, if u have a problem w/ trying to find any light in it, unfollow"
"SteveWithGoats","1st day of college as a guy in his late 30's today. As a teenager I was diagnosed with severe ADD, depression and anxiety so this big for me"
"erin_weisser","My mom just called me crazy because I was diagnosed with anxiety and depression . Thanks mom."
"daveyer2","Been a year since I was diagnosed with depression and anxiety. Though I probably had it for at least a year more than that"
"v23474","@SoCalRamen I was diagnosed with #Fibromyalgia and #SocialAnxiety on top of my longstanding anxiety and depression almost two years ago..."
"Anxiwarrior","4 years ago almost to the day I was diagnosed with anxiety, depression & panic disorder. Little did I know life wouldn't be the same again"
"babybex0203","I was medically diagnosed with depression in January 2016 when I only went in for an anxiety checkup."
"garrett412","7years ago I was diagnosed with depression 2years ago I was diagnosed with anxiety and OCD everyday has been a battle but I'm still going!"
"DVBHugger","@AgnesBrownTV I was diagnosed with Anxiety & Depression & Gran helped me through & with your help Mammy, 30mins every wk, we forgot illness."
"repxsed","there was a strange feeling I got when I was diagnosed with anxiety & depression"
"karsanvers","i used to go to therapy and i was fucking diagnosed with depression and anxiety so don't fucking tell me i'm sad because i want to"
"SamuelSmithNZ","Yesterday I was diagnosed with anxiety and depression but I am so glad I have a great family a wonderful girlfriend and everyone on here"
"zombie_boogie","@soapymatsu @poopypuds coupled with anxiety. I've never been diagnosed with depression , only severe anxiety. I was on xanax, and honestly"
"ANDR0MEIDA","I was diagnosed with depression and severe social anxiety so yes sometimes it's difficult. But thank you so much  pic.twitter.com/kdkKmlK5jM"
"LaSouvarine","#mentalhealthcaresopoor i was diagnosed with chronic depression & anxiety at 13. 10 yrs later i mention i am an abuse survivor, get PD added"
"realwlstories","Meet @shauntelfit When I was 13 I was diagnosed with anxiety & depression . I relied on food to help me cope. I... http:// fb.me/2kdTXuyyw"
"anjelojaldon","I was too before. I was diagnosed with anxiety depression by psychiatrist a few years back. https:// twitter.com/arianafactonly /status/762839779117379586 "
"El_Apostole","@Ground0Online recently I was diagnosed with severe depression , anxiety, isomnia and sleep terrors. I just would like to talk you about some"
"brav3chele","10.) it's almost been a year since I was diagnosed with depression & anxiety and I'm happy to say I'm in a much better place now than I was ."
"iglvzx_ebooks","I was diagnosed with General Anxiety Disorder and Depression as a hate crime & I'm glad this info has been banned from KiA."
"memerbabe","self diagnosed with anxiety for to explain what was wrong. finally got help & i was right (& diagnosed w depression ) https:// twitter.com/heteromeg/stat us/761705196783296513 "
"anne_theriault","I was diagnosed with clinical depression when I was 16 and generalized anxiety disorder when I was 21. I'm not embarrassed about it!"
"_fightingfish","""i was diagnosed with anxiety and depression while in uni in the US"
"MargaritaNerd","My hair hasn't fallen out this bad since 2010 when I was first diagnosed with my anxiety disorder/ depression ."
"yaboyzachh","On the same day I was diagnosed with major adult depression and severe anxiety, I got another promotion at work."
"kattiiiiee_","exactly three years ago today i was admitted into a certain hospital diagnosed with depression , anxiety, and insomnia"
"lesmiserxbles","@ABHdipbrows OKAY SO LAST YEar I was diagnosed with clinical depression and major anxiety and like at the time I had just moved+"
"daniellejenna","4 years since I was diagnosed with depression /anxiety and every day - every action- still feels like an uphill battle but I still push on"
"emeraldradiate","@daydreamingjack I WROTE IT AS A COPING METHOD WHEN I WAS FIRST DIAGNOSED WITH ANXIETY AND DEPRESSION AND SO IT. MEANS A LOT TO ME"
"nicoleekackley","In 2014, I was diagnosed with anxiety and depression as a result from a concussion. I've most URL instagram.com/p/BIbaNwwgxSw/"
"SupportAKF","Sadly, I think the depression came back. And to top it all off, I was diagnosed with strong anxiety. @jarpad #AlwaysKeepFighting"
"StaceysParlour","@bintykins like so many of the websites etc I was guided to when diagnosed with anxiety/ depression ."
"shelbs_lol","Went to the doctor to find out what was wrong with me. I was diagnosed with depression & social anxiety, definitely something wrong with me"
"FlamingJane97","@camilacabello97 I was diagnosed with depression and anxiety, but you help me every day! Thank you so much! #askcamila you change my life"
"EveCannoned","So i was diagnosed with depression and anxiety today. Its not just the simple lvl of it either, its pretty bad. Ill make it through tho"
"ry_cot","I was diagnosed with depression and anxiety this year but for years my mom would yell over things I couldn't control https:// twitter.com/respecttheafro _/status/758025300437569536 "
"CARDl_D","I was diagnosed with depression , social anxiety and generalized anxiety 4 years ago"
"PetalsofPerfect","@penchantandprej I've had two weeks of holidays but couldn't properly relax because I was diagnosed with anxiety and depression so I need to"
"sequoiablackbur","In April I was diagnosed with depression and anxiety. Last month I was able to adopt Stella, my new ESA! pic.twitter.com/6kfqysNnsC"
"xoxo_overdoseee","Depression and Anxiety is not a joke.... I was diagnosed with it, after blacking out and beating this girl ass...They put me on meds...Buut"
"ffashorty2017","@OfficialBradlee I just found out when I was in fifth grade I was diagnosed with depression anxiety and suicidal thoughts so your not alone"
"KrauseElle","@OfficialBradlee I know because I was also diagnosed with anxiety, and depression . But we'll get better, and that's all that matters!"
"Dayviis","Well, at least the answer of my questions. I was diagnosed with anxiety and depression . But I'm okay. In fact I thought that was possible!"
"triforcemeg","6. I was diagnosed with two anxiety disorders and depression at 15, caused by genetics and childhood trauma. But it's manageable."
"ni_cholaaa","I was diagnosed with Chronic anxiety and panic disorder. Along with severe Clinical Depression . So don't tell me you know how it feels"
"gayyberry","I've been diagnosed with just anxiety (and depression caused by anxiety) since I was like eight."
"galadriel301982","@JackWagnerhpk I was diagnosed with depression and anxiety in 2009. I'm still working on finding the right meds."
"mitsukibakugou","@katsukitiddie until I was professionally diagnosed with depression and social anxiety my parents thought I was faking it for attention smh"
"Irelandtoday_"," I was diagnosed with #depression & #anxiety . @MarianKeyes book helped me #bake happiness http:// bit.ly/2a5rYFi pic.twitter.com/q9b2BIDKwM"
"EllzTom","a year and 3 months ago on the 25th, i was diagnosed with depression and anxiety. After talking URL instagram.com/p/BHxCFUGBL_K/"
"brian_eads","@jarpad hello Jared I was recently diagnosed with depression and anxiety and was moved to research the #AlwaysKeepFighting campaign. Love it"
"__arthoe","@boricuabrujita adhd isn't the only reason kids go on medication. I was diagnosed with anxiety and depression at 7 and 12, without meds I"
"fluckery","It'll be 10 years this August since I was diagnosed with generalized anxiety disorder and depression . #NoShameDay"
"sinnersprxyer","I don't feel perfect but with how I feel now, it's odd to think I was diagnosed with depression and anxiety in January"
"chrisdunnmusic","About a year ago I was diagnosed with severe depression +anxiety, had it for 20 years and thought that's what normal felt like #NoShameDay"
"ann5sos","@ann5sos fun fact: I was diagnosed with depression and anxiety but hey, I don't look like it so it must not be true :-)"
"hello_world046","@jarpad I love you and thank you for the AKF campaigns and such. I was just diagnosed with depression and anxiety so pic.twitter.com/mRH9h3BDIe"
"YouTube_Trash_2","All things I was diagnosed with & have struggled with: Self-Harm, OCD, Anxiety, Paranoia, Depression , ADHD, Suicidal pic.twitter.com/A4bifa88Kp"
"kinoyo246","Please don't say My/ I was diagnosed with depression /anxiety it makes it seem like you're owning it, it's part of you when I know it's not"
"EyesLikeNeedles","I was diagnosed with manic depression and anxiety when I was 16. I'd never use it as an excuse to sit on my arse. You have to at least TRY"
"equality_JA","Eventually I got help. I was diagnosed with depression and anxiety disorders placed on anti-depressants & had weekly psychotherapy sessions."
"BabeAriel_mfc","Secret #1 When I was 16 I was diagnosed with manic depression and severe anxiety (bet u couldn't tell from tonight)"
"nessiehanon","For those of you who don't know, I was recently diagnosed with social anxiety disorder, depression , and panic disorder."
"httpsum41","While I was in I was diagnosed with severe anxiety depression and social anxiety yay !!!!!!"
